
 Tiempo=78.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=78.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=79.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=79.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=79.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=79.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=80.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=80.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=80.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=80.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=81.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=81.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=81.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=81.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=82.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=82.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=82.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=82.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=83.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=83.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=83.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=83.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=84.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=84.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=84.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=84.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=85.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=85.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=85.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=85.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=86.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=86.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=86.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=86.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=87.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=87.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=87.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=87.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=88.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=88.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=88.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=88.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=89.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=89.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=89.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=89.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=90.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=90.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=90.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=90.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=91.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=91.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=91.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=91.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=92.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=92.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=92.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=92.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=93.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=93.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=93.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=93.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=94.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=94.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=94.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=94.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=95.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=95.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=95.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=95.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=96.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=96.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=96.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=96.750000, -nan, -nan, -nan, -nan , -nan , -nan
